Date : 2024-08-20 18:21:11
Directory : e:\weichang\iot-web
Total : 307 files,  26540 codes, 1545 comments, 2071 blanks, all 30156 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\weichang\iot-web\src\icons\svg\password.svg                                        | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\pdf.svg                                             | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\people.svg                                          | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\peoples.svg                                         | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\qq.svg                                              | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\search.svg                                          | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\shopping.svg                                        | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\size.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\skill.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\star.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\tab.svg                                             | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\table.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\temperature.svg                                     | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\theme.svg                                           | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\tree-table.svg                                      | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\tree.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\user.svg                                            | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\wechat.svg                                          | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\wristbrand.svg                                      | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\zaixian.svg                                         | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svg\zip.svg                                             | XML                |          1 |          0 |          0 |          1 |
| e:\weichang\iot-web\src\icons\svgo.yml                                                | YAML               |          5 |         13 |          5 |         23 |
| e:\weichang\iot-web\src\lang\en.js                                                    | JavaScript         |        175 |          0 |          1 |        176 |
| e:\weichang\iot-web\src\lang\es.js                                                    | JavaScript         |        175 |          0 |          1 |        176 |
| e:\weichang\iot-web\src\lang\index.js                                                 | JavaScript         |         47 |          4 |          5 |         56 |
| e:\weichang\iot-web\src\lang\ja.js                                                    | JavaScript         |        175 |          0 |          1 |        176 |
| e:\weichang\iot-web\src\lang\zh.js                                                    | JavaScript         |        175 |          0 |          1 |        176 |
| e:\weichang\iot-web\src\layout\components\AppMain.vue                                 | Vue                |         48 |          3 |          7 |         58 |
| e:\weichang\iot-web\src\layout\components\Navbar.vue                                  | Vue                |        149 |         10 |         24 |        183 |
| e:\weichang\iot-web\src\layout\components\Settings\index.vue                          | Vue                |        129 |          0 |         14 |        143 |
| e:\weichang\iot-web\src\layout\components\Sidebar\FixiOSBug.js                        | JavaScript         |         24 |          2 |          1 |         27 |
| e:\weichang\iot-web\src\layout\components\Sidebar\Item.vue                            | Vue                |         38 |          0 |          4 |         42 |
| e:\weichang\iot-web\src\layout\components\Sidebar\Link.vue                            | Vue                |         41 |          0 |          3 |         44 |
| e:\weichang\iot-web\src\layout\components\Sidebar\Logo.vue                            | Vue                |         74 |          0 |          9 |         83 |
| e:\weichang\iot-web\src\layout\components\Sidebar\SidebarItem.vue                     | Vue                |         85 |          6 |          8 |         99 |
| e:\weichang\iot-web\src\layout\components\Sidebar\index.vue                           | Vue                |         51 |          1 |          3 |         55 |
| e:\weichang\iot-web\src\layout\components\TagsView\ScrollPane.vue                     | Vue                |         81 |          4 |         10 |         95 |
| e:\weichang\iot-web\src\layout\components\TagsView\index.vue                          | Vue                |        282 |          6 |          7 |        295 |
| e:\weichang\iot-web\src\layout\components\index.js                                    | JavaScript         |          5 |          0 |          1 |          6 |
| e:\weichang\iot-web\src\layout\index.vue                                              | Vue                |         93 |          0 |         10 |        103 |
| e:\weichang\iot-web\src\layout\mixin\ResizeHandler.js                                 | JavaScript         |         40 |          2 |          4 |         46 |
| e:\weichang\iot-web\src\main.js                                                       | JavaScript         |         37 |         10 |         15 |         62 |
| e:\weichang\iot-web\src\permission.js                                                 | JavaScript         |         50 |         16 |         12 |         78 |
| e:\weichang\iot-web\src\router\index.js                                               | JavaScript         |         95 |         38 |         14 |        147 |
| e:\weichang\iot-web\src\router\modules\charts.js                                      | JavaScript         |         32 |          1 |          4 |         37 |
| e:\weichang\iot-web\src\router\modules\components.js                                  | JavaScript         |         98 |          1 |          4 |        103 |
| e:\weichang\iot-web\src\router\modules\nested.js                                      | JavaScript         |         62 |          1 |          4 |         67 |
| e:\weichang\iot-web\src\router\modules\system.js                                      | JavaScript         |         73 |          1 |          2 |         76 |
| e:\weichang\iot-web\src\router\modules\table.js                                       | JavaScript         |         33 |          1 |          3 |         37 |
| e:\weichang\iot-web\src\settings.js                                                   | JavaScript         |          9 |         27 |          7 |         43 |
| e:\weichang\iot-web\src\store\getters.js                                              | JavaScript         |         16 |          0 |          1 |         17 |
| e:\weichang\iot-web\src\store\index.js                                                | JavaScript         |         16 |          4 |          6 |         26 |
| e:\weichang\iot-web\src\store\modules\app.js                                          | JavaScript         |         61 |          0 |          5 |         66 |
| e:\weichang\iot-web\src\store\modules\errorLog.js                                     | JavaScript         |         25 |          0 |          4 |         29 |
| e:\weichang\iot-web\src\store\modules\permission.js                                   | JavaScript         |         51 |         10 |          9 |         70 |
| e:\weichang\iot-web\src\store\modules\settings.js                                     | JavaScript         |         29 |          1 |          7 |         37 |
| e:\weichang\iot-web\src\store\modules\tagsView.js                                     | JavaScript         |        147 |          2 |         12 |        161 |
| e:\weichang\iot-web\src\store\modules\user.js                                         | JavaScript         |        108 |         12 |         20 |        140 |
| e:\weichang\iot-web\src\styles\btn.scss                                               | SCSS               |         83 |          0 |         17 |        100 |
| e:\weichang\iot-web\src\styles\element-ui.scss                                        | SCSS               |         64 |          6 |         15 |         85 |
| e:\weichang\iot-web\src\styles\element-variables.scss                                 | SCSS               |         13 |         11 |         10 |         34 |
| e:\weichang\iot-web\src\styles\index.scss                                             | SCSS               |        154 |          2 |         36 |        192 |
| e:\weichang\iot-web\src\styles\mixin.scss                                             | SCSS               |         56 |          0 |         11 |         67 |
| e:\weichang\iot-web\src\styles\sidebar.scss                                           | SCSS               |        180 |          6 |         41 |        227 |
| e:\weichang\iot-web\src\styles\transition.scss                                        | SCSS               |         35 |          4 |         10 |         49 |
| e:\weichang\iot-web\src\styles\variables.scss                                         | SCSS               |         26 |          4 |          6 |         36 |
| e:\weichang\iot-web\src\utils\auth.js                                                 | JavaScript         |         11 |          0 |          5 |         16 |
| e:\weichang\iot-web\src\utils\clipboard.js                                            | JavaScript         |         29 |          0 |          4 |         33 |
| e:\weichang\iot-web\src\utils\error-log.js                                            | JavaScript         |         28 |          4 |          4 |         36 |
| e:\weichang\iot-web\src\utils\eventBus.js                                             | JavaScript         |          2 |          1 |          2 |          5 |
| e:\weichang\iot-web\src\utils\get-page-title.js                                       | JavaScript         |         11 |          0 |          3 |         14 |
| e:\weichang\iot-web\src\utils\i18n.js                                                 | JavaScript         |          8 |          2 |          3 |         13 |
| e:\weichang\iot-web\src\utils\index.js                                                | JavaScript         |        234 |         98 |         28 |        360 |
| e:\weichang\iot-web\src\utils\myWebSocket.js                                          | JavaScript         |         97 |         18 |         14 |        129 |
| e:\weichang\iot-web\src\utils\open-window.js                                          | JavaScript         |         12 |          9 |          5 |         26 |
| e:\weichang\iot-web\src\utils\permission.js                                           | JavaScript         |         14 |          5 |          3 |         22 |
| e:\weichang\iot-web\src\utils\request.js                                              | JavaScript         |         75 |         29 |          9 |        113 |
| e:\weichang\iot-web\src\utils\scroll-to.js                                            | JavaScript         |         39 |         15 |          5 |         59 |
| e:\weichang\iot-web\src\utils\strUtil.js                                              | JavaScript         |          6 |          1 |          1 |          8 |
| e:\weichang\iot-web\src\utils\validate.js                                             | JavaScript         |         39 |         39 |         10 |         88 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\BarChart.vue                 | Vue                |         98 |          0 |          5 |        103 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\BoxCard.vue                  | Vue                |        114 |          0 |          5 |        119 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\LineChartMessage.vue         | Vue                |        113 |          0 |          4 |        117 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\PanelGroup.vue               | Vue                |        184 |          0 |         23 |        207 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\PieChart.vue                 | Vue                |         76 |          0 |          4 |         80 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\RaddarChart.vue              | Vue                |        112 |          0 |          5 |        117 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\TodoList\Todo.vue            | Vue                |         80 |          0 |          2 |         82 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\TodoList\index.scss          | SCSS               |        309 |         11 |          1 |        321 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\TodoList\index.vue           | Vue                |        117 |          7 |          4 |        128 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\TransactionTable.vue         | Vue                |        203 |          1 |          6 |        210 |
| e:\weichang\iot-web\src\views\dashboard\admin\components\mixins\resize.js             | JavaScript         |         59 |          4 |          2 |         65 |
| e:\weichang\iot-web\src\views\dashboard\admin\index.vue                               | Vue                |        210 |          0 |         15 |        225 |
| e:\weichang\iot-web\src\views\dashboard\editor\index.vue                              | Vue                |         70 |          0 |          5 |         75 |
| e:\weichang\iot-web\src\views\dashboard\index.vue                                     | Vue                |         29 |          0 |          3 |         32 |
| e:\weichang\iot-web\src\views\error-page\401.vue                                      | Vue                |         96 |          0 |          4 |        100 |
| e:\weichang\iot-web\src\views\error-page\404.vue                                      | Vue                |        225 |          0 |          4 |        229 |
| e:\weichang\iot-web\src\views\icons\element-icons.js                                  | JavaScript         |          2 |          0 |          2 |          4 |
| e:\weichang\iot-web\src\views\icons\index.vue                                         | Vue                |         94 |          0 |          8 |        102 |
| e:\weichang\iot-web\src\views\icons\svg-icons.js                                      | JavaScript         |          7 |          0 |          4 |         11 |
| e:\weichang\iot-web\src\views\login\auth-redirect.vue                                 | Vue                |         15 |          0 |          1 |         16 |
| e:\weichang\iot-web\src\views\login\components\SocialSignin.vue                       | Vue                |         58 |         11 |          4 |         73 |
| e:\weichang\iot-web\src\views\login\index.vue                                         | Vue                |        277 |         43 |         30 |        350 |
| e:\weichang\iot-web\src\views\permission\components\SwitchRoles.vue                   | Vue                |         31 |          0 |          2 |         33 |
| e:\weichang\iot-web\src\views\permission\directive.vue                                | Vue                |        101 |          0 |         11 |        112 |
| e:\weichang\iot-web\src\views\permission\page.vue                                     | Vue                |         17 |          0 |          3 |         20 |
| e:\weichang\iot-web\src\views\permission\role.vue                                     | Vue                |        100 |        159 |         23 |        282 |
| e:\weichang\iot-web\src\views\profile\components\Account.vue                          | Vue                |         37 |          0 |          2 |         39 |
| e:\weichang\iot-web\src\views\profile\components\Activity.vue                         | Vue                |        166 |          0 |         20 |        186 |
| e:\weichang\iot-web\src\views\profile\components\Timeline.vue                         | Vue                |         42 |          0 |          2 |         44 |
| e:\weichang\iot-web\src\views\profile\components\UserCard.vue                         | Vue                |        117 |          0 |         18 |        135 |
| e:\weichang\iot-web\src\views\profile\index.vue                                       | Vue                |         63 |          0 |          6 |         69 |
| e:\weichang\iot-web\src\views\redirect\index.vue                                      | Vue                |         12 |          0 |          1 |         13 |
| e:\weichang\iot-web\src\views\system\sys-cost\components\sys-cost.vue                 | Vue                |        181 |         10 |          8 |        199 |
| e:\weichang\iot-web\src\views\system\sys-cost\sys-cost-list.vue                       | Vue                |        151 |          1 |          9 |        161 |
| e:\weichang\iot-web\src\views\system\sys-department\components\sys-department.vue     | Vue                |        282 |         22 |         15 |        319 |
| e:\weichang\iot-web\src\views\system\sys-department\sys-department-list.vue           | Vue                |        227 |         12 |         14 |        253 |
| e:\weichang\iot-web\src\views\system\sys-dict\components\sys-dict-item.vue            | Vue                |        153 |          5 |         15 |        173 |
| e:\weichang\iot-web\src\views\system\sys-dict\components\sys-dict.vue                 | Vue                |        151 |          7 |         14 |        172 |
| e:\weichang\iot-web\src\views\system\sys-dict\sys-dict-item-list.vue                  | Vue                |        144 |          1 |         12 |        157 |
| e:\weichang\iot-web\src\views\system\sys-dict\sys-dict-list.vue                       | Vue                |        237 |         18 |         23 |        278 |
| e:\weichang\iot-web\src\views\system\sys-menu\components\sys-menu.vue                 | Vue                |        360 |         12 |         13 |        385 |
| e:\weichang\iot-web\src\views\system\sys-menu\sys-menu-list.vue                       | Vue                |        253 |          2 |         14 |        269 |
| e:\weichang\iot-web\src\views\system\sys-operationlog\components\sys-operationlog.vue | Vue                |        177 |         10 |         12 |        199 |
| e:\weichang\iot-web\src\views\system\sys-operationlog\sys-operationlog-list.vue       | Vue                |        148 |          0 |          8 |        156 |
| e:\weichang\iot-web\src\views\system\sys-role\components\sys-role.vue                 | Vue                |        208 |         28 |          6 |        242 |
| e:\weichang\iot-web\src\views\system\sys-role\sys-role-list.vue                       | Vue                |        307 |         41 |         24 |        372 |
| e:\weichang\iot-web\src\views\system\sys-role\sys-role-menu.vue                       | Vue                |        153 |          7 |         13 |        173 |
| e:\weichang\iot-web\src\views\system\sys-user\components\sys-user-head.vue            | Vue                |        137 |          3 |          8 |        148 |
| e:\weichang\iot-web\src\views\system\sys-user\components\sys-user-password.vue        | Vue                |        118 |          0 |          9 |        127 |
| e:\weichang\iot-web\src\views\system\sys-user\components\sys-user.vue                 | Vue                |        347 |         38 |         12 |        397 |
| e:\weichang\iot-web\src\views\system\sys-user\sys-user-list.vue                       | Vue                |        324 |         42 |         17 |        383 |
| e:\weichang\iot-web\src\views\table\device-list.vue                                   | Vue                |      1,791 |         21 |         54 |      1,866 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\BarChart.vue            | Vue                |         98 |          0 |          5 |        103 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\BoxCard.vue             | Vue                |        114 |          0 |          5 |        119 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\LineChartBlood.vue      | Vue                |        137 |          0 |          3 |        140 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\LineChartBodyTemp.vue   | Vue                |        117 |          0 |          4 |        121 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\LineChartHeart.vue      | Vue                |        117 |          0 |          4 |        121 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\LineChartOxygen.vue     | Vue                |        117 |          0 |          3 |        120 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\LineChartRoll.vue       | Vue                |        117 |          0 |          3 |        120 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\LineChartStep.vue       | Vue                |        117 |          0 |          3 |        120 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\PanelGroup.vue          | Vue                |        179 |          0 |         26 |        205 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\PieChart.vue            | Vue                |         76 |          0 |          4 |         80 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\RaddarChart.vue         | Vue                |        112 |          0 |          5 |        117 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\TodoList\Todo.vue       | Vue                |         80 |          0 |          2 |         82 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\TodoList\index.scss     | SCSS               |        309 |         11 |          1 |        321 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\TodoList\index.vue      | Vue                |        117 |          7 |          4 |        128 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\TransactionTable.vue    | Vue                |         53 |          0 |          3 |         56 |
| e:\weichang\iot-web\src\views\table\realTime-chart\components\mixins\resize.js        | JavaScript         |         59 |          4 |          2 |         65 |
| e:\weichang\iot-web\src\views\table\realTime-chart\index.vue                          | Vue                |        489 |         13 |         21 |        523 |
| e:\weichang\iot-web\src\views\table\runtime\components\LineChartAlarm.vue             | Vue                |        113 |          0 |          4 |        117 |
| e:\weichang\iot-web\src\views\table\runtime\components\PanelGroup.vue                 | Vue                |        197 |          0 |         29 |        226 |
| e:\weichang\iot-web\src\views\table\runtime\components\TransactionTable.vue           | Vue                |        227 |          3 |          7 |        237 |
| e:\weichang\iot-web\src\views\table\runtime\components\mixins\resize.js               | JavaScript         |         59 |          4 |          2 |         65 |
| e:\weichang\iot-web\src\views\table\runtime\index.vue                                 | Vue                |        229 |          4 |         11 |        244 |
| e:\weichang\iot-web\src\views\theme\index.vue                                         | Vue                |        108 |          0 |         11 |        119 |
| e:\weichang\iot-web\tests\unit\.eslintrc.js                                           | JavaScript         |          5 |          0 |          1 |          6 |
| e:\weichang\iot-web\tests\unit\components\Hamburger.spec.js                           | JavaScript         |         18 |          0 |          1 |         19 |
| e:\weichang\iot-web\tests\unit\components\SvgIcon.spec.js                             | JavaScript         |         22 |          0 |          1 |         23 |
| e:\weichang\iot-web\tests\unit\utils\formatTime.spec.js                               | JavaScript         |         28 |          0 |          2 |         30 |
| e:\weichang\iot-web\tests\unit\utils\param2Obj.spec.js                                | JavaScript         |         14 |          0 |          2 |         16 |
| e:\weichang\iot-web\tests\unit\utils\parseTime.spec.js                                | JavaScript         |         33 |          0 |          5 |         38 |
| e:\weichang\iot-web\tests\unit\utils\validate.spec.js                                 | JavaScript         |         34 |          0 |          1 |         35 |
| e:\weichang\iot-web\vue.config.js                                                     | JavaScript         |         89 |         33 |          8 |        130 |
| Total                                                                                 |                    |     26,540 |      1,545 |      2,071 |     30,156 |
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
